GridID,B2_mean,B3_mean,B4_mean,B8_mean,B11_mean,B2_ent,B2_corr,B2_asm,B3_ent,B3_corr,B3_asm,B4_ent,B4_corr,B4_asm,B8_ent,B8_corr,B8_asm,B11_ent,B11_corr,B11_asm,NDBI_mean,NDVI_mean,workc0,worka1,worka2,worka3,worka4,worka5,workb1,workb2,workb3,workb4,workb5,wendc0,wenda1,wenda2,wendb1,wendb2,POInum,POItype,residentia,commercial,industry,public,greenspace,type60
1405,722.273091,868.701319,907.417833,1736.756497,1487.387845,1.504402,0.091219,0.285214,1.636157,0.079031,0.246514,1.737339,0.125166,0.223303,1.984374,0.083407,0.151836,1.270611,0.242597,0.355922,-0.049483,0.3135,405.243508,-8.255555,6.189006,-15.092611,15.457838,-18.401583,3.82869,5.974941,-1.064935,16.603553,27.299929,472.468822,67.709061,-48.199131,-76.272624,-67.137055,16,2,60.182071,3.846138,3.339349,3.426449,0.000005,1
1205,1287.937575,1413.012805,1459.061224,1579.962785,1538.779512,1.44643,0.103363,0.306943,1.488428,0.085848,0.294098,1.573731,0.115267,0.266887,1.649227,0.109062,0.245061,1.166725,0.313477,0.392201,0.002066,0.040548,602.120355,-7.132366,0.335393,-7.020157,12.542841,-72.25543,0.989788,7.328855,-0.109898,11.22663,161.607178,518.343409,-26.427426,-120.687987,-32.660356,13.355647,1,1,41.036329,4.024871,2.491862,4.005155,1.053668,3
1314,1147.964,1317.9444,1445.644,1866.5072,1919.8912,1.876821,-0.147391,0.1784,1.93811,-0.160087,0.164207,1.994844,-0.147677,0.150825,2.021581,-0.15395,0.147842,1.44225,0.182177,0.293689,0.034181,0.142883,787.965279,-14.31083,13.643402,-28.392949,26.176397,-88.245819,2.717735,24.3848,-10.802088,29.875444,62.693152,887.583669,44.907578,-123.710062,-86.303158,-78.541148,45,4,103.65419,9.237926,1.451534,7.205839,0,1
952,696.039184,857.711715,857.9992,2002.047181,1621.321072,1.335423,0.218227,0.353404,1.519673,0.158888,0.268431,1.530553,0.215462,0.280021,1.894131,0.159157,0.167089,1.255333,0.232781,0.350837,-0.088287,0.42241,343.429369,-7.154032,7.891158,-10.240821,13.743676,-35.358885,-1.62025,13.610781,-1.896351,13.383714,24.5264,387.726183,10.341511,-47.258052,-55.26048,-45.51538,19,2,74.194905,0.710088,0,3.921482,0,1
594,791.478992,965.460984,1087.531413,1896.448179,1787.937575,1.405731,0.223871,0.302032,1.531251,0.218874,0.263834,1.678864,0.224581,0.222899,1.885202,0.249698,0.168961,1.324414,0.254429,0.331604,-0.006315,0.278879,628.161082,21.069614,-9.454918,-17.577925,22.748634,-58.29241,6.763062,4.84131,-5.247986,8.277527,37.918151,748.623111,26.311288,-102.966581,-91.792034,-84.19849,57,4,110.208782,5.295945,0,6.294767,0.411126,1
1750,826.865946,993.067227,1062.912365,1764.586635,1820.747499,1.400642,0.226592,0.3146,1.472778,0.23667,0.2931,1.615595,0.243124,0.250258,1.689074,0.219365,0.222375,1.303045,0.285811,0.343214,0.026778,0.254766,398.840538,-17.107341,-10.439707,-2.40379,21.71989,-59.93744,23.637171,-5.778764,-12.770073,9.919017,93.033193,413.502884,-30.05674,-92.058652,15.659896,10.978608,1,1,4.370663,0.039667,0.660607,0.81453,0,1
1914,1200.4964,1246.6404,1262.9756,2076.728,2210.7652,1.589565,0.160108,0.257215,1.629797,0.143218,0.233886,1.685502,0.20564,0.224,1.831349,0.108669,0.186963,1.459164,0.314148,0.299447,0.023903,0.258562,519.039228,22.350105,-21.324415,49.228037,71.624965,-71.040148,94.113401,75.004623,10.330927,20.394521,91.429932,648.79723,-131.907538,-157.821154,25.663795,12.899796,2,1,0.636737,0.001117,0.181584,0.862723,0,3
840,660.8892,873.484,882.0884,2071.9596,1659.1196,1.212923,0.28379,0.393679,1.393812,0.254828,0.314647,1.453683,0.372431,0.325719,1.948822,0.221752,0.158973,1.384755,0.270917,0.318696,-0.094366,0.406964,49.8653,-1.485549,-1.388555,-3.253246,1.869328,-6.063092,0.085672,-0.016113,-0.524907,1.657097,10.508017,54.525869,-18.002692,-9.691885,0.274843,-5.735918,6,2,26.670123,1.373438,0,9.350649,0,4
126,800.9016,999.3364,1077.768,1822.8,1606.8884,1.520662,0.111642,0.262785,1.631998,0.09263,0.23043,1.717576,0.124076,0.208672,1.890022,0.19411,0.168158,1.234795,0.323768,0.369472,-0.036799,0.261252,344.370268,-11.15864,13.518547,-8.242727,16.098237,-27.266044,2.755525,1.644787,-2.252066,17.936767,35.935365,417.75051,-18.615102,-57.457742,-20.493128,-23.218331,4,1,18.962274,0.867619,0.87352,1.486835,0,1
1956,876.4216,1034.6168,1096.13,2165.3908,2157.1184,1.247301,0.290279,0.416425,1.468591,0.067679,0.295486,1.427401,0.236943,0.34076,1.828421,-0.061209,0.183427,1.32158,0.304386,0.344178,-0.008812,0.380994,417.009082,3.615014,7.116383,-4.731943,10.3309,-61.787102,7.464308,1.820303,6.543194,13.933994,96.957864,449.87125,-84.855261,-114.698704,16.385102,13.405567,2,2,0.277858,1.39239,0.678562,2.403717,0,1
144,391.1932,529.7112,468.5544,1189.7432,1137.8908,0.472658,0.648393,0.741778,0.530118,0.674102,0.716899,0.673653,0.606342,0.642519,1.050365,0.587195,0.517096,0.820935,0.6091,0.587714,-0.029885,0.213211,399.568787,-0.433496,4.86607,-7.698633,7.535191,-49.492159,-6.757268,6.999363,-8.113647,8.294928,35.390286,462.869792,-53.191159,-65.751636,-24.006146,-28.17296,2,2,2.587637,0.205456,0,0,0.784496,5
1940,836.9696,948.6208,1022.104,1742.3484,1619.8628,1.566045,0.041868,0.242321,1.650998,0.04548,0.2208,1.767659,0.057731,0.194736,1.934722,0.024272,0.158706,1.241861,0.257308,0.356099,-0.011557,0.259488,726.928349,-11.96015,4.926664,-17.586335,16.288421,-64.343043,6.645617,12.995508,-8.35632,14.669435,46.541719,775.651855,-13.72152,-92.26365,-113.852921,-66.818713,47,5,109.414104,6.038078,1.429748,12.152452,0.275201,1
